"BILL OF MATERIAL WITH BETA STOCK, GROUPED BY VALUES, AS OF 09.10.2015"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3",
"3V3OK, 5VOK, LED5","Green","LEDCHIPLED_0603","CHIPLED_0603","LED"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C1, C2, C3, C6, C7, C8, C9, C14, C16, C17, C18, C19, C24, C25, C30, C31, C36, C56, C57","100n","C-EUC0402K","C0402K","CAPACITOR, European symbol","Keramik Kondensator, 0402, X5R, 16V, 100nF","19"," "," ","Beta","7235228","http://de.rs-online.com/web/p/ceramic-multilayer-capacitors/7235228P/?searchTerm=7235228p&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B362C377D5B4161426250705D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D373233353232387026"," "," "," "," "," "," "," "
"C4, C5","1nF","C-EUC0402K","C0402K","CAPACITOR, European symbol","Kondensator, 0402, X7R, 50V, 1nF","2"," "," ","Beta","147566","http://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/0147566/?searchTerm=147566&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31307D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D31343735363626"," "," "," "," "," "," "," "
"C10, C12","10uF","C-EUC0805K","C0805K","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C11, C13, C15","1uF","C-EUC0603K","C0603K","CAPACITOR, European symbol","Kondensator, 0603, X5R, 16V, 1µF","3"," "," ","Beta","6911142","http://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/6911142/?searchTerm=6911142&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31307D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3639313131343226"," "," "," "," "," "," "," "
"C22, C23","47pf","C-EUC0402K","C0402K","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C34, C35","2.2uF","C-EUC1210","C1210","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C50","10uF","CPOL-EUD","PANASONIC_D","POLARIZED CAPACITOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C51, C52, C53, C54","10uF","C-EUC1210","C1210","CAPACITOR, European symbol"," ","4"," "," "," "," "," "," "," "," "," "," "," "," "
"C58, C59","22uF","C-EUC1210","C1210","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"CON2","IDC 10","MICRO_MATCH","MIRCO_MATCH"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"D1, D2, D3"," ","DIODE_2CACA-SOT23","SOT23","2 Diodes - Cathode-Anode|Cathode-Anode"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"D5","RB060MM-60TFTR","1N5819HW","SOD123"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"DC3","SP6205EM5","MIC5219BM5","SOT23-5","VOLTAGE REGULATOR"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"DC5","MAX5035","MAX5035","SOIC8","MAX5035"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"J1","USB","47346-0001","MOLEX_47346-0001","CONN RCPT 5POS MICRO USB R/A  SMD"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"J3","TAG Connect","TC2030-MCP-NL","TC2030-MCP-NL","TAG-CONNECT ICSP ConnectorManufacturer: Tag-Connect"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"L4, L6, L7","0603_FERRITE","0603_FERRITE","R0603"," "," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"L5","LPS8045B","LPS8045B-104MRB_SPULE","LPS8045B-104MRB_SPULE"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED1","Yellow","LEDCHIPLED_0603","CHIPLED_0603","LED"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"LED4","Red","LEDCHIPLED_0603","CHIPLED_0603","LED"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"Q1, Q2, Q3, Q4, Q5, Q6","SI4456DY","SI4456DY","SO8"," "," ","6"," "," "," "," "," "," "," "," "," "," "," "," "
"R1, R2, R3, R4, R5, R6, R16, R17","10R","R-EU_R0603","R0603","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","8"," "," ","Beta","6979084","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6979084"," "," "," "," "," "," "," "
"R7, R8","0R01","R-EU_R2512","R2512","RESISTOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"R10, R11, R12, R22, R33","10k","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","5"," "," ","Beta","618-5832","http://de.rs-online.com/web/p/products/6185832/?searchTerm=618-5832&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B337D5B5C732D2F255C2E5D5C647B332C347D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D424552267573743D3631382D353833322677633D4E4F4E4526"," "," "," "," "," "," "," "
"R13, R28","47k","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","2"," "," ","Beta","6986764","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6986764"," "," "," "," "," "," "," "
"R14, R24","100k","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","2"," "," ","Beta","6986783","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6986783"," "," "," "," "," "," "," "
"R18","470R","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","1"," "," ","Beta","6980595","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6980595"," "," "," "," "," "," "," "
"R20, R26, R27, R31, R55","270R","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","5"," "," ","Beta","618-6481","http://de.rs-online.com/web/p/products/6186481/?searchTerm=618-6481&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B337D5B5C732D2F255C2E5D5C647B332C347D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D424552267573743D3631382D363438312677633D4E4F4E4526"," "," "," "," "," "," "," "
"R21, R25","4k7","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","2"," "," ","Beta","6980680","http://uk.rs-online.com/web/search/searchBrowseAction.html?method=getProduct&R=6980680"," "," "," "," "," "," "," "
"R23, R29","27R","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.1W, 1%","2"," "," ","Beta","698-0494","http://de.rs-online.com/web/p/products/6980494/?searchTerm=698-0494&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B337D5B5C732D2F255C2E5D5C647B332C347D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D424552267573743D3639382D303439342677633D4E4F4E4526"," "," "," "," "," "," "," "
"R50","130k","R-EU_R0402","R0402","RESISTOR, European symbol"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"R51","1M","R-EU_R0402","R0402","RESISTOR, European symbol","RESISTOR, 0.0625W, 1%","1"," "," ","Beta","6186194","http://de.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6186194&x=0&y=0"," "," "," "," "," "," "," "
"SW1","TL3700","TL3700","TL3700"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"SW2","SMD_SWITCH_127_2","SMD_SWITCH_127_2","SMD_SWITCH_127_2"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"TVS","SMBJ48A","DIODE","DIODE"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$3","SN65HVD230","MCP2551","999"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$4","DSPIC33FJ128MC802QFN","DSPIC33FJ128MC802QFN","QFN-S28-6X6"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$6","SG-310","SG-310","SG-310"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U1","A4931","A4931","QFN-28-NEW"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U2, U3","MAX3280E","MAX3280E","SOT23-5L"," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"U4","FT231XQ","FT231XQ","QFN20"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U5, U6","AD8207","AD8207","SO8"," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"VAR","VC120648D101DP","VARISTORCN1206","CT/CN1206","VARISTOR"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"VIN","WAGO_SMD","WAGO_SMD","WAGO_SMD"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"X1","BM06B-SRSS-TB","BM06B-SRSS-TB","BM06B-SRSS-TB","Disconnectable Crimp style connector, 1.0mm pitch6 contacts"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"X2","BM03B-SRSS-TB","BM03B-SRSS-TB","BM03B-SRSS-TB","Disconnectable Crimp style connector, 1.0mm pitch3 contacts"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"X4","BM05B-SRSS-TB","BM05B-SRSS-TB","BM05B-SRSS-TB","Disconnectable Crimp style connector, 1.0mm pitch5 contacts"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"X5","MKS1650-8","MKS1650-8","MKS1650"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
